track_id, year, month, day, hour, i, j, lon, lat, prgamax, maxcolwamax, maxcolreflmax, prmax, helicitymaxmax, wsgsmaxmax, sfcWindmaxmax, prmean
0, 2013, 11, 10, 7, 1105, 504, 152.220000, -25.530000, 3.646312e-08, 1.266992e+01, 5.662500e+01, 4.358657e-03, 1.175530e+02, 1.390625e+01, 5.981995e+00, 7.101205e-04
0, 2013, 11, 10, 8, 1108, 501, 152.340000, -25.650000, 4.823325e-09, 1.434015e+01, 5.687500e+01, 1.243723e-02, 1.368780e+02, 1.426172e+01, 6.308472e+00, 6.770646e-03
1, 2013, 11, 10, 8, 1112, 498, 152.500000, -25.770000, 7.206172e-09, 1.182199e+01, 5.787500e+01, 5.818538e-03, 1.165411e+02, 1.311719e+01, 5.827461e+00, 7.390078e-04
1, 2013, 11, 10, 9, 1114, 497, 152.580000, -25.810000, 1.865155e-08, 1.030177e+01, 6.012500e+01, 8.971825e-03, 9.261739e+01, 1.231641e+01, 5.529198e+00, 5.092697e-03
2, 2013, 11, 13, 7, 1103, 471, 152.140000, -26.850000, 1.497948e-09, 1.376196e+01, 5.825000e+01, 6.191328e-03, 9.858591e+01, 1.469531e+01, 6.650131e+00, 7.245913e-04
2, 2013, 11, 13, 8, 1103, 470, 152.140000, -26.890000, 3.405590e-09, 1.328649e+01, 5.787500e+01, 6.378949e-03, 1.069116e+02, 1.459766e+01, 6.703972e+00, 4.084218e-03
3, 2013, 11, 13, 7, 1102, 473, 152.100000, -26.770000, 4.045753e-09, 1.385258e+01, 5.825000e+01, 7.729694e-03, 9.858591e+01, 1.480469e+01, 7.331169e+00, 2.783093e-03
3, 2013, 11, 13, 8, 1103, 470, 152.140000, -26.890000, 3.405590e-09, 1.328649e+01, 5.787500e+01, 6.378949e-03, 1.069116e+02, 1.459766e+01, 6.703972e+00, 4.084218e-03
4, 2013, 11, 13, 8, 1106, 461, 152.260000, -27.250000, 1.462760e-09, 1.252961e+01, 5.500000e+01, 3.462829e-03, 1.117176e+02, 1.386719e+01, 6.684669e+00, 6.736634e-04
4, 2013, 11, 13, 9, 1106, 460, 152.260000, -27.290000, 1.691745e-08, 1.287895e+01, 5.750000e+01, 1.069327e-02, 8.229848e+01, 1.217969e+01, 5.706993e+00, 4.603690e-03
5, 2013, 11, 13, 8, 1105, 463, 152.220000, -27.170000, 5.462830e-09, 1.368296e+01, 5.625000e+01, 5.693957e-03, 1.257402e+02, 1.428906e+01, 6.837402e+00, 2.213647e-03
5, 2013, 11, 13, 9, 1106, 460, 152.260000, -27.290000, 1.691745e-08, 1.287895e+01, 5.750000e+01, 1.069327e-02, 8.229848e+01, 1.217969e+01, 5.706993e+00, 4.603690e-03
6, 2013, 11, 14, 0, 1155, 386, 154.220000, -30.250000, 3.784573e-10, 1.126425e+01, 5.700000e+01, 5.772397e-03, 8.880470e+01, 1.342188e+01, 1.095507e+01, 1.652270e-03
